"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"long","numeric",101498,0,31395,10.6952196825663,10.462221625,10.462221625,NA,2.31696191298008,NA,5.87161922,15.03811264,9.16649342,0.0135430429590473,0.880736095744735,-1.333722528286,-43.367991531717,NA,NA
"lat","numeric",101498,0,25289,53.2558242303907,54.06319427,54.06319427,NA,1.9229542679764,NA,47.26985931,55.05652618,7.78666687,-1.72430367484882,-112.135543766412,1.88816383251484,61.3964834231537,NA,NA
"order","integer",101498,0,101498,50749.5,50749.5,50749.5,NA,29300.0931483161,NA,1,101498,101497,0,0,-1.20003546873742,-39.0209559651412,NA,NA
"hole","logical",101498,0,3,NA,NA,101077,"FALSE",NA,0.00826132039729544,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piece","factor",101498,0,33,NA,NA,74755,"1",NA,0.440966352842863,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group","factor",101498,0,99,NA,NA,21618,"MV.1",NA,0.887937021027328,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id","character",101498,0,17,NA,NA,35058,"MV",NA,0.777548996363156,NA,NA,NA,NA,NA,NA,NA,NA,NA
