"ID","year","gender","agegroup","region","population","d_log_CVD_mort_100k","d_CVD_mort_100k","CVD_mort_100k","CVD_deaths","d_log_CVD_costs_100k","d_CVD_costs_100k","CVD_costs_100k","CVD_costs_sum","d_lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","d_log_cancer_mort_100k","d_cancer_mort_100k","cancer_deaths","d_log_cancer_costs_100k","d_cancer_costs_100k","cancer_costs_sum","d_lag_log_cancer_costs_100k","d_lag_cancer_costs_100k"
"1","2007","Male","1","SH",297888,NA,NA,2.68557310129982,8,NA,NA,338001.785234719,1006866.758,NA,NA,NA,NA,10,NA,NA,2788143.422,NA,NA
"1","2008","Male","1","SH",293380,0.238392431188673,0.722975538689276,3.40854863998909,10,0.0482124675846798,16695.1228708096,354696.908105529,1040609.789,NA,NA,-1.18872392445147,-2.33440178462804,3,-0.105223705275659,-93481.7839069997,2471693.02,NA,NA
"1","2009","Male","1","SH",289208,0.109632724444643,0.394942273125344,3.80349091311444,11,0.213700299022447,84507.068271335,439203.976376864,1270213.036,0.0482124675846798,16695.1228708096,0.861620405027522,1.39783871634882,7,0.0773862282694857,67786.0418449123,2632587.052,-0.105223705275659,-93481.7839069997
"1","2010","Male","1","SH",283634,-0.586674325788119,-1.68808866937779,2.11540224373665,6,-0.160930625887461,-65287.1744419758,373916.801934888,1060555.182,0.213700299022447,84507.068271335,0.152992870406719,0.400133016636645,8,0.0488356040677811,45557.1634139564,2711063.949,0.0773862282694857,67786.0418449123
"1","2011","Male","1","SH",276945,-0.158455812672669,-0.309989616680733,1.80541262705591,5,0.155779107167662,63030.4247707756,436947.226705664,1210103.497,-0.160930625887461,-65287.1744419758,0.0238657441212855,0.068123878307266,8,-1.30158662148144,-695750.219479294,720282.915,0.0488356040677811,45557.1634139564
"1","2012","Male","1","SH",273248,0.349911359411833,0.756362756478458,2.56177538353437,7,0.499693952910752,283236.516267753,720183.742973416,1967887.674,0.155779107167662,63030.4247707756,0.0134391227906205,0.0390830921783922,8,1.48371964054971,886700.346128519,3133558.661,-1.30158662148144,-695750.219479294
"1","2013","Male","1","SH",271889,-0.554629874980266,-1.09058677347659,1.47118861005778,4,-0.592648449593028,-322022.152765647,398161.590207769,1082557.566,0.499693952910752,283236.516267753,0.00498591295515705,0.0146339246477081,8,-0.313862377995795,-308920.60609514,2278052.748,1.48371964054971,886700.346128519
"1","2014","Male","1","SH",269872,-Inf,-1.47118861005778,0,0,0.192596136417283,84566.7558229422,482728.346030711,1302748.642,-0.592648449593028,-322022.152765647,-0.280235950197401,-0.719101000278009,6,0.273312670622094,263349.133923942,2971858.66,-0.313862377995795,-308920.60609514
"1","2015","Male","1","SH",270358,Inf,0.739759873944917,0.739759873944917,2,0.434471257134028,262674.885240419,745403.231271129,2015257.268,0.192596136417283,84566.7558229422,0.285882838306664,0.735763275942117,8,-0.00166934643031169,-1836.76820248435,2972244.693,0.273312670622094,263349.133923942
"1","2016","Male","1","SH",275230,-0.0178601050849838,-0.01309490282985,0.726664971115067,2,-0.38679814754914,-239104.347428525,506298.883842604,1393486.418,0.434471257134028,262674.885240419,-0.151391497709507,-0.415712096876934,7,-1.04271670257696,-711849.125704191,1066583.83,-0.00166934643031169,-1836.76820248435
"1","2017","Male","1","SH",275372,-0.000515799082270896,-0.000374716477704151,0.726290254637363,2,0.0410958007533822,21240.2105460772,527539.094388682,1452694.955,-0.38679814754914,-239104.347428525,-0.847813659469474,-1.45389201694669,3,1.33499965283777,1085066.66913604,4055103.903,-1.04271670257696,-711849.125704191
"2","2007","Male","1","HH",157578,NA,NA,1.26921270735763,2,NA,NA,287227.461320743,452607.289,NA,NA,NA,NA,5,NA,NA,1116124.048,NA,NA
"2","2008","Male","1","HH",157687,-0.693838662356803,-0.63504502073793,0.634167686619696,1,-0.0390003698021619,-10986.3488637869,276241.112456956,435596.323,NA,NA,-0.00069148179685774,-0.00219333529558563,5,0.181554730622908,141008.361272986,1339247.949,NA,NA
"2","2009","Male","1","HH",157462,-Inf,-0.634167686619696,0,0,0.211499023868186,65062.7265645224,341303.839021478,537423.851,-0.0390003698021619,-10986.3488637869,0.183749453047658,0.639604721440393,6,-0.289910966104715,-213745.124861451,1000769.658,0.181554730622908,141008.361272986
"2","2010","Male","1","HH",157355,Inf,0.63550570366369,0.63550570366369,1,0.0408898124993247,14245.1050857952,355548.944107273,559474.041,0.211499023868186,65062.7265645224,-0.692467420546222,-1.9039260435478,3,-0.129365306305258,-77123.6655751774,878731.662,-0.289910966104715,-213745.124861451
"2","2011","Male","1","HH",154735,-Inf,-0.63550570366369,0,0,0.0790303627443318,29239.3429641713,384788.287071445,595402.156,0.0408898124993247,14245.1050857952,0.304472495418705,0.678547677195183,4,0.160979387786586,97537.3750991056,1015025.018,-0.129365306305258,-77123.6655751774
"2","2012","Male","1","HH",156918,Inf,1.27455103939637,1.27455103939637,2,0.0386534923319317,15164.6055221393,399952.892593584,627598.08,0.0790303627443318,29239.3429641713,-0.707156580138607,-1.31051374878988,2,-0.083825006601522,-52745.6390608283,946577.58,0.160979387786586,97537.3750991056
"2","2013","Male","1","HH",157728,-0.698295835170731,-0.640548199063648,0.634002840332725,1,0.417176613130042,207043.825807715,606996.718401299,957403.784,0.0386534923319317,15164.6055221393,0.400316453497378,0.627457481601801,3,-1.52808431824288,-472359.284861126,206420.896,-0.083825006601522,-52745.6390608283
"2","2014","Male","1","HH",160890,-0.0198488711399762,-0.0124601714285044,0.62154266890422,1,-0.312528654531484,-162921.15745904,444075.560942259,714473.17,0.417176613130042,207043.825807715,-0.0198488711399762,-0.0373805142855133,3,0.909628232061497,194134.569734156,522902.16,-1.52808431824288,-472359.284861126
"2","2015","Male","1","HH",164500,1.58724824389162,2.41797100890733,3.03951367781155,5,-0.429738012729651,-155124.678267487,288950.882674772,475324.202,-0.312528654531484,-162921.15745904,-0.427654776650648,-0.648822535588041,2,1.40999556422383,1006198.18981879,2189830.899,0.909628232061497,194134.569734156
"2","2016","Male","1","HH",169704,-1.64058308519872,-2.45025237577978,0.589261302031773,1,0.436616084594949,158189.590148497,447140.472823269,758815.268,-0.429738012729651,-155124.678267487,0.662002007795323,1.14123973700247,4,-0.503470008567769,-526584.921540828,1365471.09,1.40999556422383,1006198.18981879
"2","2017","Male","1","HH",173862,-Inf,-0.589261302031773,0,0,0.334896426460787,177870.514051379,625010.986874648,1086656.602,0.436616084594949,158189.590148497,-1.41050049924316,-1.78187639608076,1,0.355545542169066,343539.366080244,1996211.572,-0.503470008567769,-526584.921540828
"3","2007","Male","1","NI",857007,NA,NA,1.283536773912,11,NA,NA,330126.306202867,2829205.553,NA,NA,NA,NA,31,NA,NA,7934592.864,NA,NA
"3","2008","Male","1","NI",843309,0.257274704527076,0.376590178367652,1.66012695227965,14,0.0666011529159363,22735.4942759615,352861.800478828,2975715.321,NA,NA,-0.473435577608517,-1.36421056396987,19,-0.187126308853021,-158006.37987047,6475288.012,NA,NA
"3","2009","Male","1","NI",826377,-0.220879703794207,-0.329015365195306,1.33111158708435,11,0.159657324843579,61083.4852684761,413945.285747304,3420748.634,0.0666011529159363,22735.4942759615,0.0202823530226813,0.0461633060908366,19,0.0784308144744781,62647.1649641437,6862978.62,-0.187126308853021,-158006.37987047
