"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"year","factor",6160,0,12,NA,NA,560,"2007",NA,0.909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA
"region","factor",6160,0,17,NA,NA,385,"BB",NA,0.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gender","factor",6160,0,3,NA,NA,3168,"Female",NA,0.499591836734694,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agegroup","factor",6160,0,19,NA,NA,352,"<1",NA,0.943673469387755,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CVD_deaths","numeric",6160,0,1660,593.169155844156,53,53,NA,1400.59743820848,NA,0,13976,13976,4.43752958616214,71.1101693939907,25.1905199028766,201.868240475104,NA,NA
"cancer_deaths","numeric",6160,0,1494,399.993344155844,105,105,NA,699.328759504633,NA,0,5872,5872,3.15821453933393,50.6095038948985,12.6322017102802,101.23015890155,NA,NA
"resp_deaths","numeric",6160,0,712,146.405519480519,10,10,NA,1231.22287858514,NA,0,46023,46023,29.5078251481382,472.854637696539,961.69351843811,7706.684069718,NA,NA
"overall_deaths","numeric",6160,0,2485,1503.82516233766,317,317,NA,2964.70033063149,NA,0,27911,27911,3.7659089723862,60.3476370690157,17.8234771232491,142.831270648277,NA,NA
"population","numeric",6160,0,5851,145363.246753247,84419,84419,NA,164389.79294564,NA,2595,1275591,1272996,2.31559454063174,37.1067542953631,6.95570659078689,55.7406618107509,NA,NA
"CVD_mort_100k","numeric",6160,0,3136,1095.99396103896,43.5,43.5,NA,2692.30277362946,NA,0,17966.6,17966.6,3.51340360336206,56.3013092157453,13.1890773866675,105.692770764628,NA,NA
"cancer_mort_100k","numeric",6160,0,3443,472.744496753247,86.45,86.45,NA,695.581464193103,NA,0,3405.9,3405.9,1.70142237165098,27.2648172163433,2.22876867154654,17.8605924723196,NA,NA
"resp_mort_100k","numeric",6160,0,2244,167.004724025974,8.7,8.7,NA,351.687075268552,NA,0,2359.3,2359.3,2.77188296487665,44.4186485623341,7.58704554573525,60.7999970078883,NA,NA
"overall_mort_100k","numeric",6160,0,4510,2345.56163961039,323,323,NA,4763.16324646554,NA,0,26407.4,26407.4,2.88778412141358,46.2759321509329,8.37369691489278,67.1039529552615,NA,NA
"overall_avg_cost_case","numeric",6160,0,6154,3081.41565240715,3111.325,3111.325,NA,837.608815016416,NA,1641.714,5461.79,3820.076,0.127804135424792,2.04802549320454,-1.14916258868877,-9.20899730108099,NA,NA
"overall_N","numeric",6160,0,5816,30992.101461039,18919.5,18919.5,NA,34540.2038112057,NA,1271,260069,258798,2.53060412976182,40.5522227722495,8.13737317758448,65.2101350738974,NA,NA
"CVD_avg_cost_case","numeric",6150,0.00162337662337662,6147,4073.16697009756,3928.4765,3928.4765,NA,1716.88785105943,NA,1494.84271666667,55761.89,54267.0472833333,11.2351107561368,179.893380614753,269.504082511004,2157.96155396405,NA,NA
"CVD_N","numeric",6151,0.00146103896103896,3954,4863.77743456349,1652,1652,NA,8022.60256501265,NA,3,63396,63393,3.21952293238425,51.554269383048,13.0210947859774,104.2704221876,NA,NA
"cancer_avg_cost_case","numeric",6020,0.0227272727272727,6013,5025.18488287262,4790.56962807882,4790.56962807882,NA,1758.02308337048,NA,1367.233,80906.5,79539.267,16.8411052266134,266.791131022515,607.433241830493,4812.17490765748,NA,NA
"cancer_N","numeric",6029,0.0212662337662338,3356,2631.42809752861,1016,1016,NA,4190.82361673803,NA,0,36602,36602,3.30161935338632,52.3422075547045,14.3335799043019,113.637494161336,NA,NA
"resp_avg_cost_case","numeric",6160,0,6158,3013.49958245242,2912.296,2912.296,NA,874.347962218383,NA,1553.61728795438,6447.555,4893.93771204562,0.472103414832438,7.56532506395091,-0.565883185702215,-4.53479497257648,NA,NA
"resp_N","numeric",6160,0,3172,2020.6461038961,1128.5,1128.5,NA,2507.05219743302,NA,81,23390,23309,3.15135497833037,50.4995813500544,13.7875196468626,110.48848306264,NA,NA
"overall_costs_100k","numeric",6160,0,6160,106486007.762236,57539159.7455512,57539159.7455512,NA,95409889.1534028,NA,10693663.8714176,395992023.452694,385298359.581277,0.860247117012932,13.7852192360001,-0.642150767791788,-5.14597738012793,NA,NA
"CVD_costs_100k","numeric",6150,0.00162337662337662,6151,22844379.4764328,6069845.09536086,6069845.09536086,NA,29503885.0909793,NA,122127.456763391,124777098.279731,124654970.822967,1.24502563535899,19.9349944435948,0.336194334706869,2.69196088682005,NA,NA
"cancer_costs_100k","numeric",6018,0.0230519480519481,6019,10593944.7512337,6316455.68921789,6316455.68921789,NA,10859616.2053214,NA,96080.9140031139,45283593.414605,45187512.5006019,0.939353242453449,14.8784475920705,-0.234772274358013,-1.85959154244461,NA,NA
"resp_costs_100k","numeric",6160,0,6160,6821053.30855137,3250974.3556533,3250974.3556533,NA,7014113.51659952,NA,667811.025181502,36723615.3336488,36055804.3084673,1.43877302332776,23.0559349344703,1.39197615578653,11.1548224663612,NA,NA
"overall_hospcases_100k","numeric",6160,0,6160,32760.4086031756,19444.394117152,19444.394117152,NA,30709.8305068754,NA,4805.19092186706,156207.013192017,151401.82227015,1.75040879549535,28.0498109453861,2.73825549218632,21.9434461976237,NA,NA
"CVD_hospcases_100k","numeric",6151,0.00146103896103896,6147,5061.13986282238,1511.76000809871,1511.76000809871,NA,6310.45172557893,NA,46.6417910447761,23258.9457483648,23212.30395732,1.1560092656029,18.5111938445042,-0.0612209382212452,-0.490245496248498,NA,NA
"cancer_hospcases_100k","numeric",6029,0.0212662337662338,6015,2285.13767837934,1275.75140159535,1275.75140159535,NA,2410.8482469944,NA,0,10561.2476656741,10561.2476656741,1.00903985377127,15.9968087789691,-0.0239016672717094,-0.189493873349802,NA,NA
"resp_hospcases_100k","numeric",6160,0,6160,2145.91605271557,1118.54160030346,1118.54160030346,NA,2162.09380309139,NA,269.558303361769,16619.6865486526,16350.1282452908,1.80914168240068,28.990989016595,3.34726676861038,26.8238549893129,NA,NA
